lane	tile	row	col
1	1101	2	1
1	1102	2	2
1	1103	2	3
1	1104	2	4
1	1105	2	5
1	1106	2	6
1	1107	2	7
1	1108	2	8
1	1109	2	9
1	1110	2	10
1	1111	2	11
1	1112	2	12
1	1113	2	13
1	1114	2	14
1	1115	2	15
1	1116	2	16
1	1201	1	1
1	1202	1	2
1	1203	1	3
1	1204	1	4
1	1205	1	5
1	1206	1	6
1	1207	1	7
1	1208	1	8
1	1209	1	9
1	1210	1	10
1	1211	1	11
1	1212	1	12
1	1213	1	13
1	1214	1	14
1	1215	1	15
1	1216	1	16
1	2101	2	17
1	2102	2	18
1	2103	2	19
1	2104	2	20
1	2105	2	21
1	2106	2	22
1	2107	2	23
1	2108	2	24
1	2109	2	25
1	2110	2	26
1	2111	2	27
1	2112	2	28
1	2113	2	29
1	2114	2	30
1	2115	2	31
1	2116	2	32
1	2201	1	17
1	2202	1	18
1	2203	1	19
1	2204	1	20
1	2205	1	21
1	2206	1	22
1	2207	1	23
1	2208	1	24
1	2209	1	25
1	2210	1	26
1	2211	1	27
1	2212	1	28
1	2213	1	29
1	2214	1	30
1	2215	1	31
1	2216	1	32
2	1101	4	1
2	1102	4	2
2	1103	4	3
2	1104	4	4
2	1105	4	5
2	1106	4	6
2	1107	4	7
2	1108	4	8
2	1109	4	9
2	1110	4	10
2	1111	4	11
2	1112	4	12
2	1113	4	13
2	1114	4	14
2	1115	4	15
2	1116	4	16
2	1201	3	1
2	1202	3	2
2	1203	3	3
2	1204	3	4
2	1205	3	5
2	1206	3	6
2	1207	3	7
2	1208	3	8
2	1209	3	9
2	1210	3	10
2	1211	3	11
2	1212	3	12
2	1213	3	13
2	1214	3	14
2	1215	3	15
2	1216	3	16
2	2101	4	17
2	2102	4	18
2	2103	4	19
2	2104	4	20
2	2105	4	21
2	2106	4	22
2	2107	4	23
2	2108	4	24
2	2109	4	25
2	2110	4	26
2	2111	4	27
2	2112	4	28
2	2113	4	29
2	2114	4	30
2	2115	4	31
2	2116	4	32
2	2201	3	17
2	2202	3	18
2	2203	3	19
2	2204	3	20
2	2205	3	21
2	2206	3	22
2	2207	3	23
2	2208	3	24
2	2209	3	25
2	2210	3	26
2	2211	3	27
2	2212	3	28
2	2213	3	29
2	2214	3	30
2	2215	3	31
2	2216	3	32
